servicio,canal,canal_origen,urgencia,mensaje_largo,referido,tratamiento_prev,interes_activo,es_mañana,dias_recientes,hora_contacto,dias_desde_contacto,nombre,correo,telefono
Blanqueamiento,Otro,Página web,Baja,0,0,0,0,0,0,17,4,Jorge Pérez Martínez,jorge35@yahoo.es,+51 995319693
Revisión general,Facebook,Página web,Media,0,1,0,0,1,0,8,7,Andrea Rodríguez Castro,andrea36@yahoo.es,+51 924681893
Blanqueamiento,Facebook,Llamada directa,Media,0,1,0,1,1,1,18,2,Pedro Sánchez Castro,pedro79@gmail.com,+51 979733936
Carillas,Otro,Recomendación,Baja,0,0,0,0,1,0,11,2,Jorge Quispe Mendoza,jorge20@gmail.com,+51 995163840
Cirugía oral,Instagram,Página web,Media,1,1,0,0,0,0,9,3,Pedro Castro Cruz,pedro55@gmail.com,+51 960750088
Cirugía oral,WhatsApp,Página web,Baja,1,0,0,1,0,1,14,5,José Chávez García,josé44@outlook.com,+51 915450387
Ortodoncia,Instagram,Llamada directa,Media,1,1,0,1,0,1,16,6,Jessica Vásquez Silva,jessica32@gmail.com,+51 922569868
Extracción,Instagram,Recomendación,Media,1,1,0,0,0,0,24,5,Renzo Ramírez Rojas,renzo39@hotmail.com,+51 987228409
Blanqueamiento,Otro,Llamada directa,Baja,1,0,0,0,0,0,6,6,Fiorella Gómez Morales,fiorella84@hotmail.com,+51 917419855
Limpieza dental,Otro,Llamada directa,Media,0,1,1,0,0,0,12,7,Luis Vásquez Ramírez,luis71@yahoo.es,+51 938941068
Revisión general,Otro,Recomendación,Alta,0,1,1,1,0,1,15,3,José Rojas Castro,josé34@gmail.com,+51 955621298
Implantes,Instagram,Recomendación,Media,0,1,1,1,0,0,12,9,Miguel Ramírez Flores,miguel54@hotmail.com,+51 989427806
Revisión general,Otro,Llamada directa,Media,0,1,0,0,0,0,24,3,Andrea Martínez Flores,andrea88@gmail.com,+51 934571582
Limpieza dental,Facebook,Página web,Media,1,0,1,1,1,1,16,2,Raúl Morales Vásquez,raúl33@outlook.com,+51 983181699
Carillas,WhatsApp,Recomendación,Baja,1,1,0,0,0,0,13,6,Jorge Chávez Vásquez,jorge96@hotmail.com,+51 933280176
Revisión general,Instagram,Llamada directa,Media,0,0,1,0,0,0,9,4,Jessica Quispe Vásquez,jessica78@yahoo.es,+51 910216552
Ortodoncia,Otro,Llamada directa,Baja,0,1,1,0,0,0,12,9,Luis Herrera Sánchez,luis37@outlook.com,+51 982618498
Implantes,Instagram,Google Ads,Media,1,0,1,0,0,1,17,4,Diana Gómez Vásquez,diana68@hotmail.com,+51 946809319
Ortodoncia,Facebook,Recomendación,Alta,1,1,0,0,0,0,12,3,Luis Gómez Ruiz,luis59@outlook.com,+51 994353633
Carillas,WhatsApp,Google Ads,Baja,1,1,1,1,1,1,17,4,Rosa Torres Rodríguez,rosa17@yahoo.es,+51 989504593
Endodoncia,Otro,Google Ads,Alta,0,1,1,0,0,0,16,6,Pedro Sánchez Gómez,pedro63@outlook.com,+51 936143210
Cirugía oral,Otro,Llamada directa,Media,1,1,0,0,0,0,15,6,Elena Herrera Martínez,elena37@outlook.com,+51 949173255
Limpieza dental,Otro,Página web,Media,1,1,0,0,0,0,16,2,Karla Morales Chávez,karla19@outlook.com,+51 946232570
Extracción,Facebook,Página web,Baja,0,1,0,0,1,1,17,5,Jessica Pérez Gómez,jessica91@outlook.com,+51 950490078
Limpieza dental,Facebook,Página web,Media,1,0,1,1,0,0,14,4,Renzo Herrera Flores,renzo29@hotmail.com,+51 978995197
Implantes,Instagram,Recomendación,Media,0,0,0,1,0,0,13,4,María Torres Flores,maría85@hotmail.com,+51 951884078
Limpieza dental,Otro,Recomendación,Media,1,1,0,0,0,0,14,4,Ana Pérez Ruiz,ana83@gmail.com,+51 945871072
