nombre,correo,telefono,servicio,canal,canal_origen,hora_contacto,dias_desde_contacto,mensaje_largo,urgencia,interes_activo
Lead 0,lead0@mail.com,945788921,Limpieza dental,WhatsApp,Mensaje directo,13,19,1,0,0
Lead 1,lead1@mail.com,998358551,Endodoncia,Facebook,Mensaje FB,9,22,0,1,0
Lead 2,lead2@mail.com,913344769,Evaluación general,Instagram,Inbox IG,9,21,0,0,0
Lead 3,lead3@mail.com,952860080,Endodoncia,WhatsApp,Grupo de ofertas,22,27,0,0,0
Lead 4,lead4@mail.com,970221198,Blanqueamiento,Instagram,Historia,17,26,0,0,0
Lead 5,lead5@mail.com,975285250,Evaluación general,WhatsApp,Mensaje directo,20,29,1,0,0
Lead 6,lead6@mail.com,930193880,Implantes,Otro,Anuncio Google,11,18,0,0,1
Lead 7,lead7@mail.com,921392366,Blanqueamiento,Instagram,Historia,18,13,1,0,1
Lead 8,lead8@mail.com,978979792,Ortodoncia,WhatsApp,Mensaje directo,18,6,0,1,1
Lead 9,lead9@mail.com,976401385,Endodoncia,WhatsApp,Mensaje directo,10,17,0,0,0
Lead 10,lead10@mail.com,996544585,Blanqueamiento,Instagram,Historia,10,21,0,1,1
Lead 11,lead11@mail.com,946433622,Endodoncia,Otro,Landing page,20,3,0,1,1
Lead 12,lead12@mail.com,946258670,Endodoncia,TikTok,DM TikTok,18,24,1,1,0
Lead 13,lead13@mail.com,978394024,Endodoncia,Otro,Landing page,11,23,0,0,0
Lead 14,lead14@mail.com,995390464,Implantes,Facebook,Comentario FB,19,14,0,0,0
Lead 15,lead15@mail.com,954054178,Blanqueamiento,Facebook,Formulario FB,18,7,0,1,0
Lead 16,lead16@mail.com,947407771,Endodoncia,TikTok,Live,9,0,0,1,0
Lead 17,lead17@mail.com,964079037,Implantes,Facebook,Formulario FB,13,8,0,0,1
Lead 18,lead18@mail.com,924881728,Endodoncia,TikTok,DM TikTok,14,4,1,0,0
Lead 19,lead19@mail.com,984023414,Limpieza dental,TikTok,Live,9,4,1,1,0
Lead 20,lead20@mail.com,917887739,Implantes,Facebook,Comentario FB,21,13,0,0,0
Lead 21,lead21@mail.com,946810847,Limpieza dental,Facebook,Mensaje FB,19,18,0,0,0
Lead 22,lead22@mail.com,976834972,Evaluación general,TikTok,Live,10,29,0,0,0
Lead 23,lead23@mail.com,971777469,Endodoncia,WhatsApp,Mensaje directo,10,12,0,0,1
Lead 24,lead24@mail.com,985415325,Blanqueamiento,Facebook,Mensaje FB,15,20,1,1,1
Lead 25,lead25@mail.com,912484413,Implantes,Otro,Landing page,20,10,0,0,0
Lead 26,lead26@mail.com,982931048,Ortodoncia,Facebook,Mensaje FB,7,0,0,0,0
Lead 27,lead27@mail.com,931200096,Implantes,Facebook,Comentario FB,9,6,0,0,0
Lead 28,lead28@mail.com,990705119,Endodoncia,TikTok,Live,9,9,0,1,1
Lead 29,lead29@mail.com,917654909,Endodoncia,Otro,Landing page,14,8,0,0,0
Lead 30,lead30@mail.com,982073914,Endodoncia,Instagram,Historia,13,1,1,0,0
Lead 31,lead31@mail.com,918658144,Ortodoncia,TikTok,DM TikTok,7,1,0,0,0
Lead 32,lead32@mail.com,978227907,Ortodoncia,Instagram,Inbox IG,7,18,0,0,0
Lead 33,lead33@mail.com,916659908,Endodoncia,Instagram,Inbox IG,13,10,0,0,0
Lead 34,lead34@mail.com,945562619,Limpieza dental,Instagram,Comentario IG,10,1,0,0,1
Lead 35,lead35@mail.com,916404003,Limpieza dental,Otro,Landing page,17,5,0,1,1
Lead 36,lead36@mail.com,987809459,Ortodoncia,Instagram,Historia,9,25,0,0,0
Lead 37,lead37@mail.com,993494666,Endodoncia,WhatsApp,Mensaje directo,15,0,0,0,0
Lead 38,lead38@mail.com,944109026,Limpieza dental,Facebook,Comentario FB,18,24,0,1,0
Lead 39,lead39@mail.com,956510960,Evaluación general,TikTok,Live,13,27,0,1,0
Lead 40,lead40@mail.com,944795514,Blanqueamiento,WhatsApp,Grupo de ofertas,8,0,0,1,0
Lead 41,lead41@mail.com,964006163,Limpieza dental,Facebook,Mensaje FB,13,8,0,0,0
Lead 42,lead42@mail.com,933101383,Evaluación general,WhatsApp,Mensaje directo,14,21,1,0,1
Lead 43,lead43@mail.com,921310552,Ortodoncia,Instagram,Inbox IG,10,5,0,0,0
Lead 44,lead44@mail.com,928877237,Evaluación general,WhatsApp,Mensaje directo,9,24,0,0,0
Lead 45,lead45@mail.com,965403796,Evaluación general,TikTok,Live,9,15,1,0,1
Lead 46,lead46@mail.com,934947744,Ortodoncia,Facebook,Mensaje FB,22,19,0,0,0
Lead 47,lead47@mail.com,928298917,Limpieza dental,TikTok,DM TikTok,22,11,0,0,0
Lead 48,lead48@mail.com,937180308,Limpieza dental,WhatsApp,Grupo de ofertas,12,12,0,1,1
Lead 49,lead49@mail.com,925900476,Limpieza dental,TikTok,Live,20,0,0,0,1
Lead 50,lead50@mail.com,922707035,Implantes,Facebook,Mensaje FB,22,18,0,0,1
